GeneID	BN4_540	BN4_541	BN4_770	BN4_771	BN4_772	BN4_773
Gene440	61	167	45	82	32	79
Gene441	2187	1823	831	782	2392	644
Gene442	18889	9869	8014	3526	1790	1541
Gene443	34	61	14	10	25	65
Gene444	1717	1705	3454	1457	2022	164
Gene445	2176	1488	759	979	1482	1565
Gene446	5451	9583	3673	3135	8643	15814
Gene447	146	149	66	47	111	0
Gene448	5861	5312	2007	3292	2489	4803
Gene449	2004	1016	33	0	806	223
Gene450	2863	5517	1658	1173	2037	1584
Gene451	194	4833	141	0	164	0
Gene452	348	0	12	2	208	0
Gene453	1642	4400	28437	29755	35	12
Gene454	245	306	58	67	66	97
Gene455	652	1053	523	714	408	509
Gene456	398	892	385	980	180	86
Gene457	728	1250	829	1086	766	277
Gene458	244	341	59	72	83	113
Gene459	14880	27175	12324	13693	8431	11998
Gene460	532	966	345	454	216	192
Gene461	1029	3097	1780	2774	699	131
Gene462	325	2470	334	266	551	372
Gene463	6657	15968	6434	7223	4113	6035
Gene464	222	194	51	52	170	0
Gene465	124	156	65	58	80	113
Gene466	190	189	156	169	157	510
Gene467	5	3	0	3	0	13
Gene468	10	0	0	0	10	105
Gene469	966	2100	591	658	411	871
Gene470	78	71	0	20	0	60
Gene471	1913	2580	1032	786	1194	2154
Gene472	3914	5626	3631	5652	1520	511
Gene473	114	131	19	95	63	121
Gene474	244	420	113	124	152	309
Gene475	6475	3454	1512	766	3225	844
Gene476	1266	3758	1876	2097	770	713
Gene477	659	1126	958	790	211	107
Gene478	2301	7521	2594	2925	2094	1614
Gene479	103	748	283	392	0	0
Gene480	22	10	37	30	35	0
Gene481	3534	2513	613	912	937	469
Gene482	219	591	226	204	109	0
Gene483	3627	2301	616	884	1413	193
Gene484	3094	2900	1116	712	1158	817
Gene485	486	1211	447	446	539	724
Gene486	483	662	351	426	261	333
Gene487	0	40	0	0	0	0
Gene488	2313	2760	1466	1401	1213	4516
Gene489	97	114	20	0	68	0
Gene490	869	1539	660	1013	644	75
Gene491	1818	3585	726	996	1022	845
Gene492	698	1674	363	798	638	2141
Gene493	128	272	25	5	154	95
Gene494	234	385	75	31	167	0
Gene495	82	189	57	21	9	13
Gene496	22761	16143	10072	5568	5294	17281
Gene497	286	396	294	332	48	0
Gene498	75	16	12	0	108	0
Gene499	18	37	9	26	2	8
Gene500	110	12	0	0	0	49
Gene501	171	671	877	1018	10	0
Gene502	2675	4943	906	1049	1505	1369
Gene503	537	1212	926	1086	529	941
Gene504	293	1043	586	844	266	824
Gene505	389	661	318	506	361	0
Gene506	252	354	111	99	307	142
Gene507	5548	6647	3868	3802	3807	8388
Gene508	2498	2823	1124	1268	1986	7870
Gene509	133	421	144	156	50	570
Gene510	7209	15196	5907	8296	3835	3643
Gene511	8	7	7	6	3	30
Gene512	2457	4079	1039	1118	3020	4204
Gene513	80	92	1	1	2	2
Gene514	10	31	4	11	7	29
Gene515	6222	10618	3990	5291	5047	15907
Gene516	2606	6552	6442	2614	26	0
Gene517	17774	26133	20342	33780	8275	3736
Gene518	1255	1960	1235	1104	533	1341
Gene519	528	895	586	335	237	130
Gene520	343	1062	349	145	99	82
Gene521	50	22	0	24	188	86
Gene522	148	701	300	416	128	20
Gene523	837	728	405	655	628	716
Gene524	2218	5279	1437	1593	1737	2427
Gene525	855	530	185	666	461	99
Gene526	1173	2461	878	946	565	249
Gene527	1574	2168	865	846	1360	1250
Gene528	4210	2820	825	813	849	3264
Gene529	2720	6009	4065	9564	1131	1435
Gene530	337	590	45	89	148	312
Gene531	989	2033	1174	786	840	700
Gene532	946	1309	698	956	637	802
Gene533	140	179	175	226	51	119
Gene534	377	1111	538	1528	273	505
Gene535	1990	1289	730	576	2174	724
Gene536	10	15	5	15	6	3
Gene537	2350	3599	1648	2034	1633	3510
Gene538	362	421	271	226	274	1751
Gene539	6736	17051	4226	4935	5656	6035
Gene540	159	85	62	97	226	390
Gene541	2138	6504	3467	3626	1393	1900
Gene542	12444	24782	11753	7733	5735	11316
Gene543	12552	20215	5154	6151	8454	9510
Gene544	5087	5965	2336	2766	2666	15067
Gene545	1202	1873	397	740	784	512
Gene546	2397	3593	2103	1720	1406	7346
Gene547	83	16	0	0	26	506
Gene548	60	145	32	70	56	46
Gene549	645	1477	1555	1344	429	112
Gene550	18	57	14	16	17	24
Gene551	13	4	1	12	0	3
Gene552	1853	3060	1057	950	1205	1645
Gene553	122	182	93	67	100	0
Gene554	4099	6033	3401	4119	1721	4171
Gene555	4150	1427	2190	653	2641	1268
Gene556	1541	3382	687	856	944	4140
Gene557	226	254	46	0	85	0
Gene558	166	188	270	461	132	313
Gene559	7785	5461	4438	3016	4227	3967
Gene560	670	136	556	621	267	6493
Gene561	159	52	125	129	132	0
